,Actors,Character,Season,Episode,Title
76,Stu Nahan,Himself,4,2,"""Say It Ain't So, Pete""
"
77,Mario Van Peebles,Dancer,4,3,"""Eternal Flame""*
"
78,Thomas Haden Church,Tony,4,3,"""Eternal Flame""
"
79,Billy Warlock,Ron Greenwood,4,4,"""Come from the Shadows""
"
80,Tony Plana,Robert Mendez,4,4,"""Come from the Shadows""
"
81,Julie Warner,Alice Greenwood,4,4,"""Come from the Shadows""
"
82,Barbara Tarbuck,Judge,4,4,"""Come from the Shadows""
"
83,Kamala Lopez,Marta,4,4,"""Come from the Shadows""
"
84,Pamela Adlon,Dori,4,6,"""Old Haunts in a New Age""
"
85,Christine Elise,Quincy,4,7,"""Out of Control""
"
86,Robyn Lively,Helen Akerly,4,9,"""Mike's P.O.V.""
"
87,Vince Vaughn,Bill Peterson,4,9,"""Mike's P.O.V.""
"
88,Mickey Jones,Bobo,4,10,"""Wheels and Deals: Part 2""
"
89,Ray Baker,Raymond Crane,4,10,"""Wheels and Deals: Part 2""
"
90,Keith Coogan,Kyle DeGray,4,12,"""Things We Said Today""
"
91,Shannen Doherty,Janine DeGray,4,12,"""Things We Said Today""
"
92,Wallace Langham,Poole,4,13,"""Research and Destroy""
"
93,Rosie Perez,Rosie Martinez,4,16,"""2245""
"
94,Don S. Davis,Chapman,4,16,"""2245""
"
95,Chick Hearn,Himself,4,17,"""Hi Mom""
"
96,Kareem Abdul-Jabbar,Wesley Williams,4,17,"""Hi Mom""
"
97,David Raynr,Kipling 'Kip' Fuller,4,17,"""Hi Mom""
"
98,John Waters,Mr. Bean,4,18,"""Awomp-Bomp-Aloobomb, Aloop Bamboom""
"
99,John Pyper-Ferguson,Dealer,4,18,"Awomp-Bomp-Aloobomb, Aloop Bamboom""
"
100,Diedrich Bader,Paul,4,20,"""Last Chance High""
"
101,Kelly Perine,Holt,4,26,"""Blackout""
"
102,Kristin Dattilo,Allison,4,26,"""Blackout""
"
103,Jennifer Copping,Mara,5,1,"""Tunnel of Love""
"
104,Lisa Dean Ryan,Schoolgirl,5,2,"""Back to School""
"
105,Scott Grimes,Christopher,5,3,"""Buddy System""
"
106,Brigitta Dau,Claire,5,3,"""Buddy System""
"
107,Tony Dakota,Clavo,5,4,"""Poison""
"
108,Perrey Reeves,Tracy Hill,5,4,"""Poison""
"
109,Johannah Newmarch,Lisa,5,4,"""Poison""
"
110,Richard Leacock,Jam,5,4,"""Poison""
"
111,Pat Bermel,Inspector Nickerson,5,5,"""Just Say No! High""
"
112,Deanna Milligan,Vanessa,5,5,"""Just Say No! High""
"
113,Peter Outerbridge,Jeff Chandler,5,5,"""Just Say No! High""
"
114,Tony Dakota,Clavo,5,6,"""Poison""
"
115,Don MacKay,Kyle Morgan,5,6,"""Poison""
"
116,John Pyper-Ferguson,"Joshua, group leader",5,6,"""Poison""
"
117,Terence Kelly,Edward Arbogast,5,7,"""This Ain't No Summer Camp""
"
118,Merrilyn Gann,Rosalie Arbogast,5,7,"""This Ain't No Summer Camp""
"
119,Ocean Hellman,Suzanne Ross,5,8,"""The Girl Next Door""
"
120,Lochlyn Munro,Vince,5,8,"""The Girl Next Door""
"
121,Leslie Carlson,Professor Gray,5,9,"""Diplomas for Sale""
"
122,Tony Dakota,Clavo,5,10,"""Number One with a Bullet""
"
123,David DeLuise,Stevenson,5,10,"""Number One with a Bullet""
"
124,Kamala Lopez,Marta,5,10,"""Number One with a Bullet""
"
125,Sandra P. Grant,reporter,5,10,"""Number One with a Bullet""
"
126,Don S. Davis,Lt. Donnelly,5,14,"""Film at Eleven""
"
127,Jennifer Copping,Melanie,5,17,"""Under the Influence""
"
128,Jada Pinkett Smith,Nicole,5,21,"""Homegirls""
"
